Kimberly Thomas|39|378.79
Nancy Moses|38|256.57
Shannon Price|35|460.61
Christopher Howell|48|389.90
Carol Hutchinson|41|318.18
Jody Harris|37|420.20
Phillip Hamilton|38|428.28
Jennifer Myers|31|248.48
Karen Maldonado|48|502.02
Kara Johnson|36|381.82
Michael Rodriguez|34|269.70
Terry Cortez|46|493.94
Valerie Salazar|26|307.07
Jennifer Collier|30|384.85
George Roach|48|409.09
Christina Mitchell|36|310.10
Crystal Banks|27|340.40
Jessica Hall|49|314.14
Wendy Burns|31|204.04
Isabella Cooper|37|215.15
Amber Sanchez|34|354.55
Travis White|25|350.51
Angela Bender|37|414.14
Rebecca Newton|40|480.81
Kenneth Adams|45|317.17
Angela Murphy|39|422.22
Vanessa Allen|37|461.62
Mark Lloyd|43|375.76
Richard Brown|35|448.48
Amber Ibarra|38|503.03
Connor Gonzalez|27|307.07
Ruth Cox|34|275.76
Keith Williams|42|235.35
Matthew Perez|48|249.49
Christy Love|26|492.93
Adam Thompson|44|303.03
Sally Hall|27|488.89
John Garcia|44|228.28
William Owens|49|257.58
Justin Hamilton|42|283.84
Heather Garza|40|251.52
Marvin Burke|34|248.48
Michael Cannon|27|411.11
Erin Brooks|29|278.79
Nicholas Castaneda|32|370.71
Ebony Washington|43|222.22
Cynthia Lang|45|402.02
Anna Morgan|44|270.71
Brandon White|37|358.59
Kelly Callahan|33|312.12
Brendan Hunt|36|469.70
Dr. Jonathan Cooley|38|391.92
Peter Watson|26|242.42
William Brown|42|226.26
Megan Bruce|29|459.60
Gloria Pham|25|458.59
John Long|24|256.57
Leslie Robinson|32|453.54
Amy Lawson|40|352.53
Thomas Davis|30|230.30
Angel King|27|413.13
Jerry Bass|25|279.80
Leslie Savage|44|274.75
Dennis Moyer|44|250.51
Kaitlyn Evans|43|372.73
Scott Perez|25|300.00
Stephanie Mack|35|252.53
John Yoder|37|251.52
Zachary Miller|33|242.42
Sean Hughes|44|264.65
Charlotte Hoffman|36|498.99
James Jackson|28|496.97
Patrick White|36|466.67
Christopher Dillon|47|414.14
Andrew Evans|34|486.87
David Brown|28|202.02
Mary Lewis|41|455.56
David Robertson|46|402.02
Lacey Blanchard|42|213.13
Madeline Jones|24|225.25
Anthony Williams|33|213.13
Jorge Garcia|42|367.68
Arthur Richmond|30|235.35
Veronica Wright|44|362.63
Hannah Martinez|49|290.91
Benjamin Martinez|39|274.75
Victor Clark II|40|409.09
Gregory Burnett|26|455.56
Guy Rojas|33|305.05
Lisa Clark|36|301.01
Nathaniel Hatfield|25|493.94
Christopher Bailey|25|316.16
Jeffrey Chan|27|439.39
Paul Montgomery Jr.|44|360.61
Crystal Vasquez|31|274.75
Mary Tran|33|304.04
Glenn Hopkins|24|296.97
Eric Dawson|35|380.81
David Huber|44|237.37
Larry Ward|48|306.06
